PL8_49_EPISTOLAE ET DICTA..xml	PL8_49_EPISTOLAE ET DICTA.	None	None	None	None	None	section, p
PL8_50_UNKNOWN.xml	PL8_50_UNKNOWN	None	None	None	None	None	section, p
PL8_51_EPISTOLA LIBERII EPI.xml	PL8_51_EPISTOLA LIBERII EPI	None	None	None	None	None	section
PL8_52_RESCRIPTUM SANCTI PA.xml	PL8_52_RESCRIPTUM SANCTI PA	None	None	None	None	None	section
PL8_53_UNKNOWN.xml	PL8_53_UNKNOWN	None	None	None	None	None	No citable units founds
PL8_54_EPISTOLA (1).xml	PL8_54_EPISTOLA (1)	None	None	None	None	None	No citable units founds
PL8_55_UNKNOWN.xml	PL8_55_UNKNOWN	None	None	None	None	None	No citable units founds
PL8_56_POTAMIUS.xml	PL8_56_POTAMIUS	None	None	None	None	None	section, p
PL8_57_POTAMII EPISCOPI.xml	PL8_57_POTAMII EPISCOPI	None	None	None	None	None	section
PL9_0_EDIT.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_1_EPIS.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_2_PRÆF.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_3_VITA.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_4_VITA.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_5_DE T.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_6_SELE.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_7_NOTI.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_8_SYLL.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_9_ADMO.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_10_SAN.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_11_SAN.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_12_ADM.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_13_.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL9_14_IND.xml		Vita Operaque Ex Ipsius Scriptis Editor	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL10_0_SAN.xml		None	None	None	None	None	section, p
PL10_1_445.xml		None	None	None	None	None	p
PL10_2_457.xml		None	None	None	None	None	p
PL10_3_521.xml		None	None	None	None	None	p
PL10_4_ADM.xml		None	None	None	None	None	No citable units founds
PL10_5_UNK.xml		None	None	None	None	None	p
PL10_6_529.xml		None	None	None	None	None	No citable units founds
PL10_7_UNK.xml		None	None	None	None	None	No citable units founds
PL10_8_.xml		None	None	None	None	None	book, section, p
PL10_9_PRA.xml		None	None	None	None	None	p
PL10_10_56.xml		None	None	None	None	None	section, p
PL10_11_AD.xml		None	None	None	None	None	p
PL10_12_59.xml		None	None	None	None	None	section, p
PL10_13_UN.xml		None	None	None	None	None	section, p
PL10_14_71.xml		None	None	None	None	None	p
PL10_15_AP.xml		None	None	None	None	None	section, p
PL10_16_SA.xml		None	None	None	None	None	p
PL10_17_SE.xml		None	None	None	None	None	No citable units founds
PL10_18_LI.xml		None	None	None	None	None	No citable units founds
PL10_19_DE.xml		None	None	None	None	None	No citable units founds
PL10_20_NI.xml		None	None	None	None	None	p
PL11_0_(CL.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_1_ORA.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_2_CL.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_3_TES.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_4_TRA.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_5_201.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_6_225.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_7_326.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL11_8_333.xml		Missae Sancti Zenonis E Vetustis Mss Sacramentorum Libris	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL12_0_SAN.xml		Epistolae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL12_1_DE .xml		Epistolae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL12_2_SAN.xml		Epistolae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL13_0_EPI.xml		None	None	None	None	None	section, p
PL13_1_FAU.xml		None	None	None	None	None	section, p
PL13_2_FAU.xml		None	None	None	None	None	No citable units founds
PL13_3_UNK.xml		None	None	None	None	None	section, p
PL13_4_DIA.xml		None	None	None	None	None	section, p
PL13_5_SAN.xml		None	None	None	None	None	section, p
PL13_6_DE .xml		None	None	None	None	None	No citable units founds
PL13_7_CAR.xml		None	None	None	None	None	section
PL13_8_APP.xml		None	None	None	None	None	p
PL13_9_CAR.xml		None	None	None	None	None	section
PL13_10_AD.xml		None	None	None	None	None	section, p
PL13_11_OP.xml		None	None	None	None	None	section, p
PL13_12_AN.xml		None	None	None	None	None	No citable units founds
PL13_13_AN.xml		None	None	None	None	None	chapter, p
PL13_14_TH.xml		None	None	None	None	None	p
PL13_15_UN.xml		None	None	None	None	None	section
PL13_16_AN.xml		None	None	None	None	None	p
PL13_17_SA.xml		None	None	None	None	None	section, p
PL13_18_MO.xml		None	None	None	None	None	section, p
PL13_19_SE.xml		None	None	None	None	None	section
PL13_20_SE.xml		None	None	None	None	None	section
PL13_21_CO.xml		None	None	None	None	None	No citable units founds
PL13_22_SE.xml		None	None	None	None	None	section, p
PL13_23_EX.xml		None	None	None	None	None	No citable units founds
PL13_24_BR.xml		None	None	None	None	None	No citable units founds
PL13_25_KA.xml		None	None	None	None	None	p
PL13_26_UN.xml		None	None	None	None	None	No citable units founds
PL13_27_UN.xml		None	None	None	None	None	No citable units founds
PL13_28_NA.xml		None	None	None	None	None	No citable units founds
PL13_29_FL.xml		None	None	None	None	None	No citable units founds
PL13_30_LU.xml		None	None	None	None	None	No citable units founds
PL13_31_AP.xml		None	None	None	None	None	section
PL13_32_UN.xml		None	None	None	None	None	p
PL13_33_SA.xml		None	None	None	None	None	section, p
PL13_34_SA.xml		None	None	None	None	None	p
PL13_35_SA.xml		None	None	None	None	None	p
PL13_36_Q .xml		None	None	None	None	None	p
PL13_37_UN.xml		None	None	None	None	None	p
PL13_38_S..xml		None	None	None	None	None	p
PL13_39_EP.xml		None	None	None	None	None	No citable units founds
PL13_40_EP.xml		None	None	None	None	None	No citable units founds
PL13_41_EP.xml		None	None	None	None	None	p
PL13_42_EP.xml		None	None	None	None	None	p
PL13_43_UN.xml		None	None	None	None	None	p
PL13_44_EP.xml		None	None	None	None	None	p
PL13_45_EP.xml		None	None	None	None	None	p
PL13_46_EP.xml		None	None	None	None	None	p
PL13_47_EP.xml		None	None	None	None	None	p
PL13_48_AD.xml		None	None	None	None	None	section, p
PL13_49_DE.xml		None	None	None	None	None	p
PL13_50_DU.xml		None	None	None	None	None	No citable units founds
PL13_51_MO.xml		None	None	None	None	None	No citable units founds
PL13_52_KA.xml		None	None	None	None	None	No citable units founds
PL14_0_SAN.xml		De Interpellatione Job Et David Liber Quatuor	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL14_1_SAN.xml		De Interpellatione Job Et David Liber Quatuor	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL14_2_SAN.xml		De Interpellatione Job Et David Liber Quatuor	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL15_0_COM.xml		Commentarius In Cantica Canticorum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL15_1_SAN.xml		Commentarius In Cantica Canticorum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL15_2_HIS.xml		Commentarius In Cantica Canticorum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL15_3_CON.xml		Commentarius In Cantica Canticorum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL15_4_ELE.xml		Commentarius In Cantica Canticorum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
