Filename	URN	Title	Author	Editor	Publisher	Publication Year
PL22_1_D. .xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL22_2_ORD.xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL22_4_EPI.xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL22_5_EPI.xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL22_0_SAN.xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL22_3_S. .xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL51_6_ADM.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_22_PO.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_8_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_13_AD.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_15_S..xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_30_ID.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_12_S..xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_26_AP.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_21_AD.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_23_AD.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_2_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_3_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_9_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_4_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_27_CO.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_20_CO.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_1_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_18_AP.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_11_AD.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_29_CH.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_25_LI.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_14_S..xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_19_SA.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_10_S..xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_28_IN.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_24_a .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_0_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_5_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_7_S. .xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_31_ID.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_17_I..xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_32_MA.xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL51_16_S..xml		Epistola Ad Augustinum	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL45_3_HYP.xml		De Dono Perseverantiae	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL45_0_S. .xml		De Dono Perseverantiae	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL45_1_S. .xml		De Dono Perseverantiae	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL45_2_APP.xml		De Dono Perseverantiae	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL56_1_IND.xml		Sermones Inediti	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL56_0_SAN.xml		Sermones Inediti	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL60_6_DRA.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL60_4_LIB.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL60_0_TAB.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL60_2_DIT.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL60_5_DRA.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL60_1_PSY.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL60_3_.xml		Psychomachia	None	Jacques Paul Migne	Garnier	1862	No citable units founds
PL44_1_S. .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_5_S. .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_7_AUG.xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_4_S. .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_9_IN .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_12_EP.xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_6_IN .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_3_EPI.xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_10_VA.xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_0_S. .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_11_S..xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_14_S..xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_2_S. .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_13_EP.xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL44_8_S. .xml		De Perfectione Justitiae Hominis. Admonitio	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL27_0_.xml		Chronicum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL27_3_60 .xml		Chronicum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL27_4_67 .xml		Chronicum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL27_2_C. .xml		Chronicum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL27_1_.xml		Chronicum	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_9_DE .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_8_. A.xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_6_S. .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_2_PRÆ.xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_4_S. .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_10_DE.xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_11_.xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_3_S. .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_1_QUÆ.xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_5_S. .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_12_EX.xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_7_S. .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL35_0_S. .xml		Quaestionum Evangeliorum Libri Duo	None	Jacques Paul Migne	Garnier	1845	No citable units founds
PL29_21_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_25_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_14_IN.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_22_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_41_AD.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_20_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_33_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_9_.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_40_AP.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_30_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_29_I!.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_16_S..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_4_.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_13_IN.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_35_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_27_s..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_12_IN.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_7_a P.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_1_S. .xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_0_PRÆ.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_32_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_11_S..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_23_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_24_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_31_° .xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_8_APP.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_26_8..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_37_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_19_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_2_PRÆ.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_5_ADM.xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_39_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_17_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
PL29_18_B..xml		Divina Bibliotheca 25-99	None	Jacques Paul Migne	Garnier	1863	No citable units founds
